,nombreVoluntario,serviciosDisponibles,estrellas,opinion,nombreMiembro,fotoMiembro
2729,Dionisia Giménez,"['Salud', 'Servicios del Municipio']",1,No pudo ayudarme,Lorenzo Porras,perfil_4mh.png
2730,Adrián Belda,"['Amigos y Ocio', 'El día a día']",3,Bien,Jose Carlos Izaguirre,perfil_6mh.png
2731,Laura Barral,"['Salud', 'Burocracia']",2,No ha podido ayudarme en lo que necesitaba,Patricio Morcillo,perfil_6mh.png
2732,Jenaro Bauzà,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Teodosio Valencia,perfil_7mh.png
2733,Vicenta Angulo,"['Amigos y Ocio', 'Burocracia']",4,No puedo estar más agradecida,Lourdes Salmerón,perfil_7mh.png
2734,Rosalina Murillo,"['Salud', 'Amigos y Ocio']",3,No hemos terminado de congeniar pero ha estado bien,Tamara Alsina,perfil_6mh.png
2735,Calisto Vilaplana,['Nuevas Tecnologías'],4,No hubiera podido está más feliz,Florina Garay,perfil_7mh.png
2736,Jordán Lopez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Roxana Ramírez,perfil_7mh.png
2737,Haydée Torralba,"['Amigos y Ocio', 'Burocracia']",4,Fue un día estupendo,Casandra Escamilla,perfil_8mm.png
2738,Iker Catalán,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Maximino García,perfil_14mm.png
2739,Loreto Suárez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Ha podido ayudarme en algunas cosas,Hermenegildo Talavera,perfil_9mm.png
2740,Jose Carlos Ramírez,"['Amigos y Ocio', 'Burocracia']",1,El día podría haber estado mejor,Eusebio Pareja,perfil_4mh.png
2741,Goyo Busquets,"['Salud', 'Burocracia', 'Servicios del Municipio']",3,Gran dia,Encarnacion Vilaplana,perfil_6mh.png
2742,Cleto Rosa,"['Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me acompañó en lo que necesitaba,Loida Pina,perfil_8mm.png
2743,Paulino Roda,['Amigos y Ocio'],5,Fue un día estupendo,Felipe Aguilar,perfil_14mm.png
2744,Segismundo Solera,"['El día a día', 'Servicios del Municipio']",1,Llegó tarde,Dionisio Guardia,perfil_12mh.png
2745,Rosario Balaguer,['Servicios del Municipio'],4,Es un encanto y me ayudó a hablar con mis nietos,Asunción Alemán,perfil_8mm.png
2746,Ignacia Cabello,['El día a día'],4,No puedo estar más agradecida,Augusto Juárez,perfil_13mm.png
2747,Benjamín Quevedo,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",5,Fue un día estupendo,Clotilde Jerez,perfil_6mh.png
2748,Luisa Nicolau,"['Amigos y Ocio', 'El día a día', 'Burocracia']",4,Fue un día estupendo,Felipe Yuste,perfil_6mh.png
2749,Nereida Canales,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,No pudo ayudarme,María Gordillo,perfil_12mh.png
2750,Jose Ramón Feliu,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",3,Bien,Juana Cervantes,perfil_13mm.png
2751,Goyo Sanabria,"['Salud', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Brígida Amores,perfil_1mm.png
2752,Enrique Español,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Un día agradable,Tecla Zabaleta,perfil_10mh.png
2753,León Sevillano,"['Nuevas Tecnologías', 'Burocracia']",5,Encantado con toda la ayuda que he recibido,Vera Conesa,perfil_1mm.png
2754,Josep Benet,"['Nuevas Tecnologías', 'Salud', 'El día a día']",2,No ha ido mal,Daniela Amaya,perfil_7mh.png
2755,Venceslás Cabañas,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado mucho,Viviana Durán,perfil_12mh.png
2756,Aureliano Alcolea,"['Nuevas Tecnologías', 'Salud']",1,No me ayudó nada,Jose Angel Gomez,perfil_12mh.png
2757,Ciro Guzmán,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,El servicio no estuvo mal,Samanta Cañete,perfil_14mm.png
2758,Flavio Ramos,"['Nuevas Tecnologías', 'Amigos y Ocio']",2,"Bueno, podría mejorar",Inés Mora,perfil_4mh.png
2759,Amalia Teruel,['Amigos y Ocio'],3,Ha podido ayudarme en algunas cosas,Juan José Carreño,perfil_14mm.png
2760,Ignacio Quero,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",3,Es muy amable,Lalo Andreu,perfil_8mm.png
2761,Vanesa Cózar,"['Salud', 'Burocracia']",2,Es amable aunque no divertida,Epifanio Grande,perfil_6mh.png
2762,Reynaldo Abril,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Albert Salcedo,perfil_7mh.png
2763,Rosario Lara,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me ha ayudado en lo que le he pedido,Febe Méndez,perfil_14mm.png
2764,Ángeles Sanz,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,María Carmen Ramón,perfil_4mh.png
2765,Lucho Torrecilla,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Carmina Arcos,perfil_12mh.png
2766,Fabián Falcó,"['Nuevas Tecnologías', 'Amigos y Ocio']",2,No sabía lo que le pedía,Conrado Pereira,perfil_6mh.png
2767,Manu Gelabert,"['Salud', 'Burocracia']",2,"Bueno, podría mejorar",Eli Villena,perfil_14mm.png
2768,Bautista Barrera,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No habla mucho,Josep Campo,perfil_6mh.png
2769,Mariana Mir,"['El día a día', 'Burocracia', 'Servicios del Municipio']",1,No sabía lo que le pedía,Glauco Balaguer,perfil_4mh.png
2770,Baudelio Ayllón,"['El día a día', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Abril Lladó,perfil_8mm.png
2771,Daniela Tapia,['Amigos y Ocio'],1,No sabía lo que le pedía,Agapito Juan,perfil_6mh.png
2772,Ani Criado,"['Salud', 'Amigos y Ocio']",1,No sabía lo que le pedía,Eliseo Campoy,perfil_10mh.png
2773,Baudelio Verdejo,"['Amigos y Ocio', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Rafa Angulo,perfil_4mh.png
2774,Cecilio Estevez,['Amigos y Ocio'],2,El servicio no estuvo mal,Eusebia Sans,perfil_6mh.png
2775,Bruno Bayo,"['Salud', 'El día a día', 'Servicios del Municipio']",3,Ha estado bien,Inmaculada Trillo,perfil_10mh.png
2776,Imelda Gutierrez,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Isabela Hierro,perfil_1mm.png
2777,Sancho Carretero,['El día a día'],5,Es un encanto y me ayudó a hablar con mis nietos,Brígida Solana,perfil_13mm.png
2778,Tania Hoz,"['Nuevas Tecnologías', 'Amigos y Ocio']",2,No ha ido mal,Tristán Barrios,perfil_9mm.png
2779,Cristina Ariño,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,No sabía lo que le pedía,Alexandra Solano,perfil_8mm.png
2780,Estefanía Bilbao,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,El día podría haber estado mejor,Samu Arranz,perfil_14mm.png
2781,Simón Yáñez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,Es amable aunque no divertida,Hector Macias,perfil_4mh.png
2782,Maximiano Julián,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,Sin duda seguiré utilizando este servicio,Danilo Berenguer,perfil_12mh.png
2783,Hernando Miralles,"['Amigos y Ocio', 'El día a día', 'Burocracia']",2,No ha ido mal,Macario Bertrán,perfil_8mm.png
2784,Jorge Priego,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",2,Ha llegado tarde,Julián Tamarit,perfil_9mm.png
2785,Eleuterio Marín,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",4,Fue un día estupendo,Natividad Adadia,perfil_6mh.png
2786,Zacarías Molina,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Toni Cruz,perfil_8mm.png
2787,Úrsula Belmonte,"['El día a día', 'Servicios del Municipio']",4,Fue un día estupendo,Juliana Iriarte,perfil_13mm.png
2788,Agapito Sedano,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Bien,Feliciana Navarrete,perfil_6mh.png
2789,Ester Cabo,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,No me entendía,Yéssica Carrasco,perfil_7mh.png
2790,Candelario Garcés,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Sandalio Gámez,perfil_4mh.png
2791,Antonia Cazorla,"['Amigos y Ocio', 'El día a día']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Humberto Gracia,perfil_8mm.png
2792,Paco Bayona,"['Salud', 'Burocracia']",1,No me ayudó nada,Carolina Exposito,perfil_12mh.png
2793,Serafina Hidalgo,"['Salud', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Modesto Almeida,perfil_9mm.png
2794,Rafael López,"['Salud', 'Burocracia', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Leticia Casal,perfil_14mm.png
2795,Fausto Ríos,"['Salud', 'Burocracia']",2,Puede mejorar,Dominga Villalonga,perfil_1mm.png
2796,Perla Mate,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,Sin duda seguiré utilizando este servicio,Octavio Jara,perfil_9mm.png
2797,Emma Ángel,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",5,Me ayudó mucho en casa,Vera Carbó,perfil_6mh.png
2798,Adán Marí,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Bienvenida Mendez,perfil_8mm.png
2799,Gracia Calleja,"['Amigos y Ocio', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Juan Pablo Cortina,perfil_8mm.png
2800,Selena Cañizares,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",2,No ha podido ayudarme en lo que necesitaba,Hilario Castillo,perfil_4mh.png
2801,Juan Luis Carlos,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Me ayudó mucho en casa,Gervasio Morell,perfil_13mm.png
2802,Tania Campo,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",1,No me entendía,Erasmo Bermejo,perfil_9mm.png
2803,Manuelita Lladó,"['Amigos y Ocio', 'Servicios del Municipio']",1,No es muy habladora,Natalio Salvà,perfil_14mm.png
2804,Lope Galvez,"['Amigos y Ocio', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Matías Pujadas,perfil_8mm.png
2805,Liliana Novoa,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Pacífica Abella,perfil_4mh.png
2806,Herminio Laguna,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Juan Francisco Pla,perfil_6mh.png
2807,Anselma Torres,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",4,Fue un día estupendo,Ana Sofía Girona,perfil_4mh.png
2808,José Azcona,['El día a día'],5,Sin duda seguiré utilizando este servicio,Ema Palmer,perfil_1mm.png
2809,Cirino Lloret,['Burocracia'],2,"Bueno, podría mejorar",Maximino Almazán,perfil_10mh.png
2810,Arsenio Acevedo,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Caridad Bermudez,perfil_1mm.png
2811,Nazario Castrillo,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Teresa Andres,perfil_12mh.png
2812,Febe Juárez,"['Nuevas Tecnologías', 'Salud', 'El día a día']",2,No sabía lo que le pedía,Imelda Sanz,perfil_4mh.png
2813,Felix Sala,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,No puedo estar más agradecida,María José Nogués,perfil_8mm.png
2814,Carmen Roma,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,No pudo ayudarme,Fanny Noriega,perfil_7mh.png
2815,Chelo Agustí,['Servicios del Municipio'],3,Un día agradable,Edelmiro Ángel,perfil_6mh.png
2816,Dani Company,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me acompañó en lo que necesitaba,Celso Caparrós,perfil_13mm.png
2817,Caridad Araujo,"['El día a día', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Samuel Carvajal,perfil_12mh.png
2818,Perlita Peiró,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",5,Fue un día estupendo,Juan Francisco Barón,perfil_10mh.png
2819,Dafne Colomer,"['Amigos y Ocio', 'Servicios del Municipio']",5,No puedo estar más agradecida,Cipriano Llorente,perfil_8mm.png
2820,Tito Castell,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Leonel Suárez,perfil_6mh.png
2821,Ariel Mendez,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,El día podría haber estado mejor,Rafael Palacio,perfil_7mh.png
2822,Pánfilo Pallarès,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",5,Es un encanto y me ayudó a hablar con mis nietos,Hipólito Vaquero,perfil_8mm.png
2823,Humberto Iborra,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Fabián Gomis,perfil_4mh.png
2824,Griselda Calderon,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Fue un día estupendo,Irma Jurado,perfil_7mh.png
2825,Paulino Cortes,['El día a día'],4,No puedo estar más agradecida,Juan Antonio Barba,perfil_6mh.png
2826,Ángela Cámara,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado mucho,Maxi Jiménez,perfil_10mh.png
2827,Nereida Elorza,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,El día podría haber estado mejor,Luna Roma,perfil_7mh.png
2828,Socorro Revilla,"['Amigos y Ocio', 'El día a día', 'Burocracia']",5,"Gracias, ha sido toda una experiencia",Prudencia Torrijos,perfil_8mm.png
2829,Amador Escobar,"['Amigos y Ocio', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Salomón Meléndez,perfil_6mh.png
2830,Maite Márquez,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Es muy amable,Matilde Ferrándiz,perfil_10mh.png
2831,Micaela Requena,"['Salud', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Chema Anguita,perfil_4mh.png
2832,Nidia Hurtado,"['Salud', 'Burocracia']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Evita Castañeda,perfil_12mh.png
2833,Juanito Campoy,['Amigos y Ocio'],1,No me pudo acompañar donde yo quería,Dominga Saez,perfil_4mh.png
2834,Roberto Arias,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No sabía lo que le pedía,Loreto Alcolea,perfil_12mh.png
2835,Rosa María Sosa,"['Salud', 'Amigos y Ocio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Venceslás León,perfil_10mh.png
2836,Iván Flores,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",1,No me entendía,Gracia Coll,perfil_9mm.png
2837,Olga Seguí,"['Nuevas Tecnologías', 'Salud']",3,Estoy contenta,Victor Castelló,perfil_9mm.png
2838,Pancho Mayoral,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,No es muy habladora,Timoteo Marqués,perfil_13mm.png
2839,Otilia Gisbert,"['El día a día', 'Burocracia', 'Servicios del Municipio']",3,Gracias,Herberto Maza,perfil_10mh.png
2840,Amado Ferrando,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,No me arregló los papeles,Telmo Jordán,perfil_1mm.png
2841,Sabas Moya,"['Nuevas Tecnologías', 'El día a día']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Irene Noguera,perfil_4mh.png
2842,León Lorenzo,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Es amable aunque no divertida,Mónica Prado,perfil_7mh.png
2843,Pascual Vergara,['Burocracia'],4,No puedo estar más agradecida,Toño Sandoval,perfil_6mh.png
2844,Salomón Muñoz,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Jose Carlos Sotelo,perfil_12mh.png
2845,Amaro Arenas,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",5,Qué bien que pudo ayudarme con mis papeles,Teófila Solsona,perfil_7mh.png
2846,César Rovira,"['Salud', 'El día a día', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Florencio Mulet,perfil_7mh.png
2847,Onofre Rubio,['El día a día'],4,Fue un día estupendo,Joan Barranco,perfil_1mm.png
2848,Eloísa Vidal,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,El servicio no estuvo mal,Candelario Bello,perfil_14mm.png
2849,David Plaza,"['Amigos y Ocio', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Ana Sofía Taboada,perfil_4mh.png
2850,Trinidad Falcón,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Gran dia,Pastor Verdugo,perfil_7mh.png
2851,José Manuel Arregui,"['Nuevas Tecnologías', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Lisandro Cuenca,perfil_10mh.png
2852,Leandra Abellán,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",2,No sabía lo que le pedía,Azahar Castellanos,perfil_1mm.png
2853,Aurora Figueras,"['Salud', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Matías Carranza,perfil_9mm.png
2854,Prudencio Rosado,"['Salud', 'Amigos y Ocio']",1,No pudo ayudarme,Timoteo Sarabia,perfil_6mh.png
2855,Buenaventura Mas,"['Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Faustino Bonet,perfil_6mh.png
2856,Anunciación Mendoza,"['Salud', 'Amigos y Ocio']",3,No hemos terminado de congeniar pero ha estado bien,Hugo Valls,perfil_13mm.png
2857,Griselda Real,"['Salud', 'El día a día']",5,Fue un día estupendo,Prudencia Cepeda,perfil_9mm.png
2858,Nacho Marqués,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,Está normal,Alondra Alemany,perfil_6mh.png
2859,Casandra Castejón,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,No me ayudó nada,Benito Amor,perfil_6mh.png
2860,Gregorio Rivero,"['El día a día', 'Burocracia']",3,Estoy contenta,Severino Molina,perfil_6mh.png
2861,Graciana Pinilla,"['Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me ha resuelto muchas dudas,Carla Vilar,perfil_14mm.png
2862,Inés Dávila,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Juan Pablo Crespi,perfil_1mm.png
2863,Encarnación Mascaró,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",3,Me ha ayudado en lo que le he pedido,Sabas Ojeda,perfil_4mh.png
2864,Santiago Abad,"['El día a día', 'Burocracia', 'Servicios del Municipio']",1,Llegó tarde,Victor Manuel Bravo,perfil_4mh.png
2865,Marco Madrid,['Salud'],3,Ha estado bien,Guillermo Iglesia,perfil_13mm.png
2866,Humberto Ropero,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",3,Ha estado bien,Maxi Palomares,perfil_9mm.png
2867,Mireia Montserrat,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Maximino Lucas,perfil_1mm.png
2868,Adela Salamanca,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me ayudó en lo que necesitaba,Ana Corbacho,perfil_4mh.png
2869,Imelda García,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Cintia Saavedra,perfil_10mh.png
2870,Ariadna Sáenz,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",4,Fue un día estupendo,Patricio Paniagua,perfil_10mh.png
2871,Nadia Doménech,"['Nuevas Tecnologías', 'Amigos y Ocio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Pancho Mir,perfil_4mh.png
2872,Genoveva Blazquez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Felicidad Palacios,perfil_1mm.png
2873,Loreto Villalba,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Jose Manuel Nicolau,perfil_1mm.png
2874,Gracia Naranjo,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",3,Gracias,Belen Peñalver,perfil_13mm.png
2875,Ciro Menéndez,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",3,Me lo he pasado bien,Brunilda Palomino,perfil_1mm.png
2876,Jafet Colom,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Olegario Rebollo,perfil_12mh.png
2877,Amador Arteaga,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",3,Me ayudó mucho en casa,Sosimo Ferrán,perfil_4mh.png
2878,Jose Ignacio Beltran,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",2,Ha llegado tarde,Leyre López,perfil_10mh.png
2879,Xavier Ribas,"['Nuevas Tecnologías', 'Salud']",2,No ha podido ayudarme en lo que necesitaba,Maribel Enríquez,perfil_12mh.png
2880,Soraya Ferreras,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Teobaldo Millán,perfil_4mh.png
2881,Lina Plana,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",1,El día podría haber estado mejor,Clímaco Checa,perfil_6mh.png
2882,Ana Belén Pulido,"['Salud', 'Amigos y Ocio']",5,"Gracias, ha sido toda una experiencia",Marino Echevarría,perfil_1mm.png
2883,Jose Francisco Coloma,"['Nuevas Tecnologías', 'Salud']",5,"Gracias, ha sido toda una experiencia",Leoncio Aguirre,perfil_7mh.png
2884,Gabriela Adán,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Zoraida Ródenas,perfil_9mm.png
2885,Teodora Campillo,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",5,Fue un día estupendo,Miguela Diez,perfil_1mm.png
2886,Melania Rodríguez,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,No me entendía,Lilia Tovar,perfil_14mm.png
2887,Isidoro Echeverría,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Es amable aunque no divertida,Remigio Llamas,perfil_7mh.png
2888,Nilda Villaverde,"['Salud', 'Servicios del Municipio']",5,Sin duda seguiré utilizando este servicio,María Ángeles Cuesta,perfil_10mh.png
2889,Abril Ibañez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",3,Estoy contenta,Consuela Gómez,perfil_8mm.png
2890,Yéssica Carrión,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Narciso Rico,perfil_6mh.png
2891,Yago Cañellas,"['Salud', 'Amigos y Ocio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Omar Jove,perfil_7mh.png
2892,Nicolasa Sobrino,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Luis Franco,perfil_12mh.png
2893,Guadalupe Molins,['Nuevas Tecnologías'],3,Gracias,Marcos Galiano,perfil_1mm.png
2894,Marisol Salas,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Rolando Bayo,perfil_7mh.png
2895,Emperatriz Vargas,['Burocracia'],2,Es amable aunque no divertida,Salvador Montoya,perfil_6mh.png
2896,Teodosio Salmerón,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Paco Moreno,perfil_8mm.png
2897,Teófila Cuenca,['Burocracia'],4,Es un encanto y me ayudó a hablar con mis nietos,Leonardo Guardiola,perfil_1mm.png
2898,Mar Taboada,"['Nuevas Tecnologías', 'Amigos y Ocio']",2,No ha podido ayudarme en lo que necesitaba,Gonzalo Fiol,perfil_7mh.png
2899,Vinicio Jove,['Burocracia'],5,No puedo estar más agradecida,América Giner,perfil_13mm.png
2900,Maricruz Huertas,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",4,Es un encanto y me ayudó a hablar con mis nietos,Cleto Peinado,perfil_10mh.png
2901,Priscila Lluch,"['Amigos y Ocio', 'Burocracia']",1,No me entendía,Jose Manuel Cueto,perfil_13mm.png
2902,María Dolores Vázquez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,No puedo estar más agradecida,Rosendo Roig,perfil_12mh.png
2903,Amada Haro,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",3,Es muy amable,Dafne Hidalgo,perfil_14mm.png
2904,Leonardo Sabater,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Irma Sosa,perfil_1mm.png
2905,Casemiro Macias,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Domingo Laguna,perfil_6mh.png
